batch_id,date_start,date_end,vessel_ml,ingredients,planned_steep_hours,actual_steep_hours,steep_temp,taste_notes,rating
1,2026-04-07 17:06,2026-04-08 07:17,1500,green tea:15g,12,14.18,fridge,,
2,2026-04-07 18:42,2026-04-08 07:17,435,green tea:4.4g;mint:6 leaves (<1g),12,12.58,fridge,mint subtle but present - can be improved,2.5
